X;Y;facility_id;facility_name;facility_other_names;sub_site_name;sub_site_other_names;facility_type;primary_commodity;commodities_products;facility_equipment;production_start;production_end;activity_status;activity_status_year;surface_area_sq_km;concession_area_sq_km;country;GID_0;GID_1;GID_2;GID_3;GID_4;source_id;comment;;;;;
-48.731595;-1.544990982;COM00032.00;Alunorte;;;;Refinery;Processing;Alumina;;1995;;;;;;Brazil;BRA;BRA.14_1;BRA.14.18_1;BRA.14.18.2_1;;det_1165;;;;;;
27.3498955;-24.78439077;COM00033.00;Amandelbult;;;;Mine;Other (poly)-metallic;Platinum, Palladium;;;;;;;;South Africa;ZAF;ZAF.5_1;ZAF.5.5_1;ZAF.5.5.6_1;ZAF.5.5.6.9_1;det_1103;;;;;;
-51.86909191;0.822419579;COM00034.00;Amapa;;;;Mine;Iron;Iron ore;;;;;;;;Brazil;BRA;BRA.3_1;BRA.3.10_1;BRA.3.10.1_1;;det_1113;;;;;;
48.31224496;-18.82655942;COM00035.00;Ambatovy;Ambatovy Joint Venture;;;Mine, Refinery;Nickel;Nickel, Cobalt;;2011;;;;;;Madagascar;MDG;MDG.5_1;MDG.5.1_1;MDG.5.1.5_1;MDG.5.1.5.18_1;det_1432;;;;;;
73.99484564;15.52709809;COM00036.00;Amona;;;;Refinery, Smelter;Processing;Pig iron;Coke plant, blast furnace;1992;;;;;;India;IND;IND.10_1;IND.10.1_1;IND.10.1.1_1;;det_1307;;;;;;
-81.6372373;37.19100788;COM00037.00;Amonate;;;;Mine;Coal;Coal;Underground, Surface;;;;;;;United States of America;USA;USA.47_1;USA.47.123_1;;;det_1418;;;;;;
128.4428152;50.32739727;COM00038.00;Amurugol AO;JSC Amurugol;;;Company;Coal;Coal;;;;;;;;Russian Federation;RUS;RUS.3_1;RUS.3.7_1 ;;;;;;;;;
124.9356531;55.1888113;COM00038.00;Amurugol AO;JSC Amurugol;;;Company;Coal;Coal;;;;;;;;Russian Federation;RUS;RUS.3_1;RUS.3.7_1 ;;;;;;;;;
-81.08408976;38.35866352;COM00039.00;AMVEST Fola Complex;;;;Mine;Coal;Metallurgical coal;Underground, Surface;;;;;;;United States of America;USA;USA.49_1;USA.49.8_1;;;det_1418;;;;;;
-81.14736374;38.2328063;COM00040.00;AMVEST Terry Eagle Complex;;;;Mine;Coal;Coal;Underground, Surface;;;;;;;United States of America;USA;USA.49_1;USA.49.10_1;;;det_1419;;;;;;
-70.2548994;-33.09202028;COM00041.00;Andina;División Andina;;;Mine;Copper;Copper, Molybdenum, Silver;Open pit, Underground;1970;;;;;;Chile;CHL;CHL.16_1;CHL.16.2_1;CHL.16.2.2_1;;det_1171;;;;;;
-49.81638889;-7.460555574;COM00042.00;Andorinhas;Mamão, Lagoa Seca;;;Mine;Gold;Gold;;;;;;;;Brazil;BRA;BRA.14_1;BRA.14.49_1;BRA.14.49.1_1;;det_1464;;;;;;
-43.1715278;-19.79512777;COM00043.00;Andrade;;;;Mine;Iron;Iron;Open pit;1944;;;;;;Brazil;BRA;BRA.13_1;BRA.13.414_1;BRA.13.414.1_1;;det_1218;;;;;;
-4.603106695;53.29691522;COM00044.00;Anglesey;;;;Smelter;Processing;Aluminium;;;2009;;;;;United Kingdom;GBR;GBR.4_1;GBR.4.11_1;GBR.4.11.1_1;;det_1068;;;;;;
85.15868079;20.8264071;COM00046.00;Angul Aluminium Smelter;;;;Smelter;Processing;Aluminium, Aluminium ingots, Aluminium sow ingots, Aluminium billets, wire rods, cast strips, cold-colled sheets, cold rolled coils;Continuous caster, strip casting machine, ingot casting machine, wire rod mills;;;;;;;India;IND;IND.26_1;IND.26.1_1;IND.26.1.1_1;;det_1306;;;;;;
150.0996887;-33.35153752;COM00047.00;Angus Place;;;;Mine;Coal;Coal;Underground;;;care and maintenance;2020;;;Australia;AUS;AUS.5_1;AUS.5.83_1;;;det_1591;;;;;;
-77.03633;-9.565272174;COM00048.00;Antamina;;;;Mine;Copper;Copper, Zinc, Molybdenum, lead;Open pit;;;;;;;Peru;PER;PER.2_1;PER.2.10_1;PER.2.10.14_1;;det_1081;;;;;;
-71.3148308;-14.88324387;COM00049.00;Antapaccay;;;;Mine;Copper;Copper, Gold, Silver, Copper cathode;Open pit;;2012;;;;;Peru;PER;PER.8_1;PER.8.8_1;PER.8.8.4_1;;det_1175;;;;;;
-75.07106751;-13.97384701;COM00050.00;Antapite;;;;Mine;Gold;Gold, Silver;Underground;2001;;;;;;Peru;PER;PER.9_1;PER.9.6_1;PER.9.6.6_1;;det_1344;;;;;;
